pdb,sp_primary,chain,sp_beg,sp_end
1a07,P12931,A,144,249
1a07,P12931,B,144,249
1a08,P12931,A,144,249
1a08,P12931,B,144,249
1a09,P12931,A,144,249
1a09,P12931,B,144,249
1a0n,P27986,A,91,104
1a0n,P06241,B,80,148
1a1a,P12931,A,144,249
1a1a,P12931,B,144,249
1a1b,P12931,A,144,249
1a1b,P12931,B,144,249
1a1c,P12931,A,144,249
1a1c,P12931,B,144,249
1a1e,P12931,A,144,249
1a1e,P12931,B,144,249
1a81,P43405,A,9,262
1a81,P43405,C,9,262
1a81,P43405,E,9,262
1a81,P43405,G,9,262
1a81,P43405,I,9,262
1a81,P43405,K,9,262
1ab2,P00519,A,120,220
1ad5,P08631,A,79,526
1ad5,P08631,B,79,526
1aot,P06241,F,143,248
1aou,P06241,F,143,248
1avz,P06241,C,85,141
1awo,P00519,A,59,120
1aww,Q06187,A,211,275
1awx,Q06187,A,211,275
1aze,P62993,A,1,56
1azg,P27986,A,91,104
1azg,P06241,B,82,148
1b55,Q06187,A,2,170
1b55,Q06187,B,2,170
1bbz,P00519,A,64,121
1bbz,P00519,C,64,121
1bbz,P00519,E,64,121
1bbz,P00519,G,64,121
1bhf,P06239,A,119,226
1bhh,P06239,A,119,226
1bhh,P06239,B,124,226
1bm2,P62993,A,49,163
1bmb,P62993,A,49,168
1btk,Q06187,A,2,170
1btk,Q06187,B,2,170
1bu1,P08631,A,81,137
1bu1,P08631,B,81,137
1bu1,P08631,C,81,137
1bu1,P08631,D,81,137
1bu1,P08631,E,81,137
1bu1,P08631,F,81,137
1bwn,Q06187,A,2,170
1bwn,Q06187,B,2,170
1byg,P41240,A,173,450
1cj1,P62993,A,57,152
1cj1,P62993,B,57,152
1cj1,P62993,C,57,152
1cj1,P62993,D,57,152
1cj1,P62993,E,57,152
1cj1,P62993,F,57,152
1cj1,P62993,G,57,152
1cj1,P62993,H,57,152
1cj1,P62993,I,57,152
1cj1,P62993,J,57,152
1cj1,P62993,K,57,152
1cj1,P62993,L,57,152
1csk,P41240,A,1,71
1csk,P41240,B,1,71
1csk,P41240,C,1,71
1csk,P41240,D,1,71
1csy,P43405,A,162,265
1csz,P43405,A,162,265
1cwd,P06239,L,127,222
1cwe,P06239,A,127,222
1cwe,P06239,C,127,222
1d1z,O60880,A,1,104
1d1z,O60880,B,1,104
1d1z,O60880,C,1,104
1d1z,O60880,D,1,104
1d4t,O60880,A,1,104
1d4w,O60880,A,1,104
1d4w,O60880,B,1,104
1efn,P06241,A,85,143
1efn,P06241,C,85,143
1fao,Q9UN19,A,148,273
1fb8,Q9UN19,A,148,273
1fbv,P43403,B,289,297
1fbz,P06239,A,123,226
1fbz,P06239,B,123,226
1fhs,P62993,A,53,163
1fmk,P12931,A,86,536
1fpr,P29350,A,243,526
1fyn,P06241,A,81,142
1fyr,P62993,A,50,161
1fyr,P62993,B,50,161
1fyr,P62993,C,50,161
1fyr,P62993,D,50,161
1g83,P06241,A,82,246
1g83,P06241,B,82,246
1gcq,P62993,A,159,217
1gcq,P62993,B,159,217
1gfc,P62993,A,159,215
1gfd,P62993,A,159,215
1ghu,P62993,A,60,161
1gri,P62993,A,1,217
1gri,P62993,B,1,217
1gwz,P29350,A,243,541
1h92,P06239,A,58,120
1h9o,P27986,A,616,724
1hcs,P12931,B,144,249
1hct,P12931,B,144,249
1hsq,P19174,A,790,852
1ijr,P06239,A,123,226
1io6,P62993,A,159,215
1ju5,P46108,A,12,120
1ju5,P00519,C,62,121
1jwo,P42679,A,117,213
1jyq,P62993,A,60,151
1jyq,P62993,B,60,151
1jyr,P62993,A,60,151
1jyu,P62993,A,60,151
1k2p,Q06187,A,397,659
1k2p,Q06187,B,397,659
1ka6,O60880,A,1,128
1ka7,O60880,A,1,128
1kik,P06239,A,64,120
1ksw,P12931,A,86,536
1lcj,P06239,A,119,226
1lck,P06239,A,53,226
1lck,P06239,B,502,509
1lkk,P06239,A,122,226
1lkl,P06239,A,123,226
1m27,O60880,A,1,104
1m27,P06241,C,84,144
1m61,P43403,A,1,256
1mil,P29353,A,482,583
1mw4,Q14451,A,415,532
1n3h,P29353,A,111,317
1nrv,Q13322,A,487,591
1nrv,Q13322,B,487,591
1nyf,P06241,A,82,148
1nyg,P06241,A,82,148
1o41,P12931,A,145,252
1o42,P12931,A,145,252
1o43,P12931,A,145,252
1o44,P12931,A,145,252
1o45,P12931,A,145,252
1o46,P12931,A,145,252
1o47,P12931,A,145,252
1o48,P12931,A,145,252
1o49,P12931,A,145,252
1o4a,P12931,A,145,252
1o4b,P12931,A,145,252
1o4c,P12931,A,145,252
1o4d,P12931,A,145,252
1o4e,P12931,A,145,252
1o4f,P12931,A,145,252
1o4g,P12931,A,145,252
1o4h,P12931,A,145,252
1o4i,P12931,A,145,252
1o4j,P12931,A,145,252
1o4k,P12931,A,145,252
1o4l,P12931,A,145,252
1o4m,P12931,A,145,252
1o4n,P12931,A,145,252
1o4o,P12931,A,145,252
1o4p,P12931,A,145,252
1o4q,P12931,A,145,252
1o4r,P12931,A,145,252
1opl,P00519,A,6,12
1opl,P00519,A,13,512
1opl,P00519,B,6,12
1opl,P00519,B,13,512
1oy2,P29353,A,111,317
1pbw,P27986,A,105,319
1pbw,P27986,B,105,319
1pht,P27986,A,1,85
1pic,P27986,A,616,724
1pks,P27986,A,1,79
1pkt,P27986,A,1,79
1q2h,O14492,A,20,85
1q2h,O14492,B,20,85
1q2h,O14492,C,20,85
1q68,P06239,B,7,35
1q69,P06239,B,7,35
1qcf,P08631,A,81,526
1qg1,P62993,E,58,159
1qg1,P29353,I,423,435
1qly,Q06187,A,216,273
1qpc,P06239,A,231,509
1qpd,P06239,A,231,509
1qpe,P06239,A,231,509
1qpj,P06239,A,231,509
1rja,Q13882,A,75,174
1shc,P29353,A,125,317
1shd,P12931,A,144,249
1shf,P06241,A,84,142
1shf,P06241,B,84,142
1sm2,Q08881,A,357,620
1sm2,Q08881,B,357,620
1snu,Q08881,A,357,620
1snu,Q08881,B,357,620
1snx,Q08881,A,357,620
1snx,Q08881,B,357,620
1tce,P29353,A,480,583
1tze,P62993,E,55,152
1u59,P43403,A,327,606
1u5s,O43639,A,192,262
1w1f,P07948,A,60,123
1wa7,P07948,A,60,123
1wer,P20936,A,714,1047
1wgr,Q14451,A,100,186
1wq1,P20936,G,714,1047
1wqu,P07332,A,450,550
1wx6,O43639,A,188,265
1x0n,P62993,A,58,159
1x27,P06239,A,64,226
1x27,P06239,B,64,226
1x27,P06239,C,64,226
1x27,P06239,D,64,226
1x27,P06239,E,64,226
1x27,P06239,F,64,226
1x6c,P29350,A,110,214
1x6g,P42679,A,41,108
1xa6,P52757,A,7,468
1xba,P43405,A,356,635
1xbb,P43405,A,356,635
1xbc,P43405,A,356,635
1y57,P12931,A,86,536
1yi6,P12931,A,261,536
1yi6,P12931,B,261,536
1yoj,P12931,A,254,536
1yoj,P12931,B,254,536
1yol,P12931,A,254,536
1yol,P12931,B,254,536
1yom,P12931,A,254,536
1yom,P12931,B,254,536
1z3k,O43639,A,283,380
1zbj,P06241,A,84,142
1zfp,P62993,E,56,153
1zzp,P00519,A,1007,1130
2abl,P00519,A,57,218
2aoa,P62993,A,55,153
2aoa,P62993,B,55,153
2aob,P62993,A,55,153
2aob,P62993,B,55,153
2aob,P62993,C,55,153
2aob,P62993,D,55,153
2aug,Q14449,A,433,537
2aug,Q14449,B,433,537
2auh,Q14449,B,361,419
2b3o,P29350,A,1,532
2b86,O43639,A,1,61
2bdf,P12931,A,258,536
2bdf,P12931,B,258,536
2bdj,P12931,A,258,536
2bzx,P46109,A,237,303
2bzy,P46109,A,237,303
2bzy,P46109,B,237,303
2c0i,P08631,A,81,526
2c0i,P08631,B,81,526
2c0o,P08631,A,81,526
2c0o,P08631,B,81,526
2c0t,P08631,A,81,526
2c0t,P08631,B,81,526
2c9w,O14508,A,30,198
2cbl,P43403,B,286,297
2ci8,P16333,A,281,377
2ci9,P16333,A,281,377
2ci9,P16333,B,281,377
2cia,O43639,A,282,380
2crh,P15498,A,628,775
2cs0,Q96JZ2,A,24,129
2cub,P16333,A,99,173
2cud,Q13239,A,15,80
2d86,Q9UKW4,A,1,130
2dbk,P46109,A,228,303
2dcr,P07332,A,450,550
2dkq,Q63HR2,A,1263,1409
2dlz,P52735,A,663,767
2dm0,P42681,A,140,251
2dm1,P52735,A,819,878
2dq7,P06241,X,261,537
2dvj,P46108,A,1,228
2e2b,P00519,A,229,515
2e2b,P00519,B,229,515
2e6i,Q08881,A,113,169
2ecd,P42684,A,163,268
2eo3,P46109,A,1,104
2eyv,P46108,A,6,124
2eyw,P46108,A,125,198
2eyx,P46108,A,232,298
2eyy,P46108,A,1,204
2eyz,P46108,A,1,304
